Date,Adj Close,Close,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ATR_14,trend,high_vol,regime_scalar,base_lev,target_exposure,rebalance_flag,position,position_lag,ret,BT_ret_net,BT_equity,equity_bh,dd_strat,dd_bh
2025-09-09,239.47335815429688,239.6300048828125,212.34274520874024,197.13609100341796,179.53726539611816,85.1429159012691,10.844567756015067,8.089163429230604,2.755404326784463,239.28502039429364,212.34274520874024,185.40047002318684,6.176596505301331,1,0,1.1,0.5047950183544843,0.5552745201899327,0,0.30278497130864307,0.30278497130864307,0.02388482164590222,0.007231965036766561,4.8343188984493555,6.260822561120257,0.0,0.0
2025-09-10,239.0136566162109,239.1699981689453,214.14215316772462,198.39721557617187,179.84622367858887,84.18532771378409,11.358838412590217,8.743098425902527,2.6157399866876894,243.18922364969293,214.14215316772462,185.0950826857563,6.114453996930793,1,1,0.6,0.5020312023236136,0.30121872139416817,0,0.30278497130864307,0.30278497130864307,-0.0019196354100892155,-0.0005812367525669183,4.831509014631948,6.248804064435645,-0.0005812367525669382,-0.0019196354100892155
2025-09-11,240.2128753662109,240.3699951171875,216.0704147338867,199.6901126098633,180.17182403564453,84.66970947572646,11.727975739962915,9.340073888714606,2.3879018512483086,246.70212993358186,216.0704147338867,185.43869953419156,6.295291355678005,1,0,1.1,0.5080082279341382,0.5588090507275522,0,0.30278497130864307,0.30278497130864307,0.005017364978125993,0.0015191827109468695,4.838848959594761,6.2801565951037155,0.0,0.0
2025-09-12,240.64259338378903,240.8000030517578,217.9712387084961,200.93569061279297,180.54111251831054,84.84878852598605,11.917813251529338,9.855621761277552,2.062191490251786,249.78555024863965,217.9712387084961,186.15692716835252,5.936794825962603,1,0,1.1,0.5070871766012875,0.5577958942614164,1,0.5577958942614164,0.30278497130864307,0.0017889050156991715,0.00036314590778542,4.84060616779283,6.291391198736073,0.0,0.0
2025-09-15,251.44552612304688,251.6100006103516,220.3642837524414,202.37955474853516,180.97869331359863,88.48915047231891,12.792503221255458,10.442998053273135,2.349505167982324,254.7207263979755,220.3642837524414,186.00784110690728,6.4030380249023375,1,1,0.6,0.4777967587654413,0.28667805525926476,0,0.5577958942614164,0.5577958942614164,0.04489202259397529,0.025040585888010156,4.961817782287477,6.57382447457727,0.0,0.0
2025-09-16,250.99581909179688,251.16000366210935,222.75481185913085,203.86914001464845,181.3996484375,87.54616066180374,13.296144052921193,11.013627253202747,2.2825167997184455,258.69515415762174,222.75481185913085,186.81446956063996,6.481785365513387,1,1,0.6,0.4778953815193594,0.2867372289116156,0,0.5577958942614164,0.5577958942614164,-0.0017884869068218734,-0.0009976106535655414,4.956867820006816,6.5620672755767435,-0.0009976106535656282,-0.0017884869068218734
2025-09-17,249.36688232421875,249.52999877929688,225.1602439880371,205.3746713256836,181.80514587402342,84.05214376781993,13.40926776518387,11.492755355598971,1.9165124095848984,261.4804328897677,225.1602439880371,188.8400550863065,6.628928048270085,1,1,0.6,0.48044940627602906,0.2882696437656174,0,0.5577958942614164,0.5577958942614164,-0.006489896020867025,-0.0036200373546231303,4.938923773336462,6.519480141276317,-0.00461403662035742,-0.008266775833628892
2025-09-18,251.86524963378903,252.02999877929688,227.80292053222655,206.88503997802735,182.22258804321288,85.0384275278677,13.544385242333334,11.903081332945844,1.6413039093874904,263.80212738575204,227.80292053222655,191.80371367870106,6.5791506086077005,1,1,0.6,0.4925555898870352,0.2955333539322211,0,0.5577958942614164,0.5577958942614164,0.010018841661267652,0.005588468743910325,4.966524794472309,6.584797780525543,0.0,0.0
2025-09-19,254.55349731445312,254.72000122070312,230.55854339599608,208.42920440673828,182.65486434936523,86.0389252348971,13.71034165345975,12.264533397048625,1.4458082564111248,265.8469989187769,230.55854339599608,195.2700878732153,6.560579572405134,1,1,0.6,0.4950255012893157,0.2970153007735894,1,0.2970153007735894,0.5577958942614164,0.010673356823034608,0.0057710081984343005,4.995186649778936,6.655079676844618,0.0,0.0
2025-09-22,252.36492919921875,252.52999877929688,232.8882278442383,209.87827667236328,183.06356178283693,81.27389768100046,13.509534642688692,12.51353364617664,0.996000996512052,267.43069953170044,232.8882278442383,198.34575615677613,6.496244158063616,1,1,0.6,0.49515905020766526,0.29709543012459916,0,0.2970153007735894,0.2970153007735894,-0.008597674509774333,-0.0025536408804740464,4.982430736944462,6.597861467946494,-0.0025536408804741617,-0.008597674509774333
