Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ATR_14,ret,trend,vol_ann,high_vol,regime_scalar,base_lev,target_exposure,rebalance_flag,position,position_lag,turnover,tcost,BT_ret_net,BT_equity,equity_bh,dd_strat,dd_bh
2016-02-01,38.24950408935547,38.53850173950195,38.87950134277344,38.06900024414063,38.5629997253418,111522000,,,,,0.0,0.0,0.0,,,,,0.0,0,,0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2016-02-02,38.7526969909668,39.045501708984375,40.51750183105469,39.02999877929688,40.025001525878906,135846000,,,,,0.04014074428808101,0.008028148857616203,0.03211259543046481,,,,,0.013155540538141608,0,,0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0131555405381416,0.0,0.0
2016-02-03,37.188018798828125,37.46900177001953,39.57149887084961,36.8129997253418,39.31399917602539,131114000,,,,80.69772629304259,-0.053685032571777924,-0.004314487428262624,-0.0493705451435153,,,,,-0.04037598189626379,0,,0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0,1.0,0.9722483907752743,0.0,-0.04037598189626379
2016-02-04,36.2277717590332,36.50149917602539,37.262001037597656,36.130001068115234,37.22949981689453,104922000,,,,71.56777210518,-0.20318436482372704,-0.04408846290735551,-0.15909590191637152,,,,,-0.025821408905633336,0,,0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0,1.0,0.9471435675192219,0.0,-0.0651548260633873
2016-02-05,34.92412567138672,35.1879997253418,36.33599853515625,35.00699996948242,36.275001525878906,109556000,,,,61.40981246270514,-0.4219925396501978,-0.11966927825592397,-0.3023232613942738,,,,,-0.035984716264572,0,,0,0.3,0.0,0.0,1,0.0,0.0,0.0,0.0,-0.0,1.0,0.9130608749802283,0.0,-0.09879496439880064
2016-02-08,34.943973541259766,35.20800018310547,35.22600173950195,34.10049819946289,34.38399887084961,89410000,,,,61.49940983102481,-0.5870311082035684,-0.21314164424545284,-0.37388946395811556,,,,,0.0005683140090551042,0,,0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.9135797802665996,0.0,-0.09828279695203757
2016-02-09,34.78814697265625,35.05099868774414,36.04800033569336,34.42499923706055,34.647499084472656,84300000,,,,60.31539049414865,-0.7220756262669923,-0.3149284406497608,-0.4071471856172315,,,,,-0.004459325967023364,0,,0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0,1.0,0.9095058302295093,0.0,-0.10230384789050095
2016-02-10,35.07745742797852,35.342498779296875,36.1609992980957,35.269500732421875,35.589500427246094,60314000,,,,61.7863922568424,-0.7965720570742576,-0.41125716393466016,-0.38531489313959744,,,,,0.008316351415603496,0,,0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.917069600328238,0.0,-0.09483829122512344
2016-02-11,35.05314636230469,35.31800079345703,35.61600112915039,34.55950164794922,34.81700134277344,65004000,,,,61.57982850738573,-0.8477998065972443,-0.49856569246717697,-0.34923411413006733,,,,,-0.0006930680686806356,0,,0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0,1.0,0.9164340086714928,0.0,-0.09546562990246765
2016-02-12,35.0794563293457,35.34450149536133,35.79999923706055,35.07899856567383,35.61050033569336,46538000,,,,61.72894739966818,-0.8761751707433518,-0.5740875881224119,-0.30208758262093993,,,,,0.0007505736223811788,0,,0,0.3,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9171218598650547,0.0,-0.09478671026373531
